[17:05:13] [main/INFO]: ModLauncher running: args [--username, Gyomci, --version, forge-47.4.0, --gameDir, D:\curseforge_minecraft\Instances\Build my world, --assetsDir, D:\curseforge_minecraft\Install\assets, --assetIndex, 5, --uuid, facba8e826bb4e769390fd76512c428e, --accessToken, ????????, --clientId, c4d364-6b5dba-40da7f-959881-7a32ab, --xuid, 2535449832448927, --userType, msa, --versionType, release, --width, 1024, --height, 768, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[17:05:13] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Eclipse Adoptium; OS Windows 10 arch amd64 version 10.0
[17:05:14] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[17:05:14] [main/INFO]: Trying GL version 4.6
[17:05:14] [main/INFO]: Requested GL version 4.6 got version 4.6
[17:05:14] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/D:/curseforge_minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[17:05:14] [pool-2-thread-1/INFO]: GL info: AMD Radeon RX 6900 XT GL version 4.6.0 Core Profile Context 24.12.1.241127, ATI Technologies Inc.
[17:05:14] [main/INFO]: Found mod file accessories-neoforge-1.0.0-beta.46+1.20.1.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file aether-1.20.1-1.5.2-neoforge.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file aether_delight_1.0.0_forge_1.20.1.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file AetherVillages-1.20.1-1.0.7-forge.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file AI-Improvements-1.20-0.5.2.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file AkashicTome-1.7-27.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file alexsdelight-1.5.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file alexsmobs-1.22.9.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file amendments-1.20-1.2.19.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file appleskin-forge-mc1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file Aquaculture-1.20.1-2.5.5.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file aquaculturedelight-1.1.1-forge-1.20.1.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file aquamirae-6.API15.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file aquamirae_delight-1.5.2-forge-1.20.1.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file artifacts-forge-9.5.14.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file athena-forge-1.20.1-3.1.2.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file Atlas Lib-1.20.1-1.1.12.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.4.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.20-all.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
[17:05:14] [main/INFO]: Found mod file betterwithminecolonies-1.20-1.19.19.jar of type MOD with provider {mods folder locator at D:\curseforge_minecraft\Instances\Build my world\mods}
